Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,296,296,296,297,372,372,372,372,372,372,372,391,391,Cr,Screener
Reserves,"33,382","33,761","78,866","79,396","78,941","77,508","69,523","76,418","77,277","69,476","65,164","75,008","73,641",Cr,Screener
Borrowings +,"38,943","37,644","33,468","43,233","40,713","42,204","38,937","32,299","36,778","52,651","55,253","57,193","52,240",Cr,Screener
Other Liabilities +,"10,868","6,833","69,994","43,258","27,143","30,783","30,618","28,642","34,314","37,341","29,724","27,398","42,451",Cr,Screener
Total Liabilities,"83,490","78,534","182,624","166,184","147,169","150,867","139,450","137,731","148,741","159,840","150,513","159,990","168,723",Cr,Screener
Fixed Assets +,"22,584","22,126","33,853","36,197","37,176","41,006","37,118","38,249","39,516","41,483","44,818","45,071","51,612",Cr,Screener
CWIP,"17,327","17,422","21,158","17,243","18,369","15,731","12,086","10,701","10,714","12,588","11,133","14,205","8,858",Cr,Screener
Investments,"22,767","26,465","101,047","86,085","68,010","68,582","62,905","62,903","61,466","64,845","60,158","66,766","66,441",Cr,Screener
Other Assets +,"20,811","12,522","26,567","26,659","23,614","25,548","27,341","25,878","37,045","40,924","34,404","33,948","41,812",Cr,Screener
Total Assets,"83,490","78,534","182,624","166,184","147,169","150,867","139,450","137,731","148,741","159,840","150,513","159,990","168,723",Cr,Screener
