Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"28,537","32,502","34,094","36,663","45,524","38,644","35,858","37,440","63,277","68,080","70,757","74,295","51,361",Cr,Screener
Operating Profit,"2,096","4,630","-11,329","6,673","6,475","5,547","5,904","8,688","17,678","9,461","12,631","16,000","7,559",Cr,Screener
OPM %,7%,14%,-33%,18%,14%,14%,16%,23%,28%,14%,18%,22%,15%,%,Screener
Other Income +,"1,902","2,005","1,457","11,007","8,944","6,400","-9,775","10,688","8,029","17,461","10,572","14,368","11,322",Cr,Screener
Interest,"3,565","3,656","3,600","3,896","3,353","3,757","3,328","3,193","3,146","4,384","5,679","6,328","3,856",Cr,Screener
Depreciation,"1,505","1,012","4,287","2,986","2,842","3,243","3,264","2,519","2,945","3,661","3,789","4,031","2,144",Cr,Screener
Profit before tax,"-1,072","1,967","-17,760","10,798","9,224","4,947","-10,463","13,664","19,616","18,877","13,735","20,009","12,881",Cr,Screener
Tax %,-200%,2%,-33%,-3%,21%,-3%,-36%,23%,12%,-13%,52%,10%,,%,Screener
Net Profit +,"1,076","1,927","-11,906","11,069","7,256","5,075","-6,732","10,503","17,245","21,259","6,623","17,928","12,253",Cr,Screener
EPS in Rs,3.63,6.50,-40.16,37.34,19.52,13.65,-18.11,28.26,46.39,57.19,17.82,45.85,31.32,₹,Screener
Dividend Payout %,90%,63%,-9%,52%,109%,138%,-22%,34%,97%,178%,166%,95%,,%,Screener
