Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"15,832","17,337","15,907","19,236","17,833","17,781","16,715","18,288","4,362","20,098","18,829","5,219","7,215",Cr,Screener
Expenses +,"13,888","14,603","14,107","14,959","14,654","14,458","12,951","14,564","4,498","15,913","15,374","5,433","7,082",Cr,Screener
Operating Profit,"1,944","2,734","1,800","4,277","3,179","3,323","3,764","3,724",-136,"4,185","3,455",-214,133,Cr,Screener
OPM %,12%,16%,11%,22%,18%,19%,23%,20%,-3%,21%,18%,-4%,2%,%,Screener
Other Income +,"4,611","14,473","3,816","-1,336","2,570",-471,"3,418","9,881","2,364",510,"5,010","2,799","3,003",Cr,Screener
Interest,"1,197","1,272","1,335","1,405","1,409","1,530","1,584","1,622",259,"1,651","1,332",428,445,Cr,Screener
Depreciation,"1,040",816,881,975,996,937,"1,026","1,051",41,"1,025","1,009",53,57,Cr,Screener
Profit before tax,"4,318","15,119","3,400",561,"3,344",385,"4,572","10,932","1,928","2,019","6,124","2,104","2,634",Cr,Screener
Net Profit +,"4,684","14,872","3,408",22,"3,084",109,"4,183","10,553","1,783","1,409","5,742","2,195","2,907",Cr,Screener
EPS in Rs,12.60,40.01,9.17,0.06,8.30,0.29,11.25,26.99,4.56,3.60,14.68,5.61,7.43,₹,Screener
