Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,493,494,494,486,905,"1,207","1,143","1,096","1,096","1,098","1,045","2,094","2,097",Cr,Screener
Reserves,"28,863","34,128","40,732","46,220","41,358","48,185","45,311","44,146","53,254","61,665","56,737","60,807","62,395",Cr,Screener
Borrowings +,"4,583","6,103","6,813","6,310","5,803","5,128","5,958","6,925","8,804","6,359","5,100","7,486","7,945",Cr,Screener
Other Liabilities +,"11,660","12,628","9,990","10,002","10,560","12,468","12,895","13,523","17,228","16,119","18,742","21,608","23,460",Cr,Screener
Total Liabilities,"45,599","53,352","58,028","63,018","58,625","66,988","65,306","65,689","80,383","85,241","81,624","91,995","95,897",Cr,Screener
Fixed Assets +,"3,975","4,038","4,068","4,362","4,367","4,401","6,639","7,288","8,038","8,825","7,860","8,686","8,988",Cr,Screener
CWIP,275,361,325,694,"1,291","2,113","1,874","1,848","1,584",604,670,178,233,Cr,Screener
Investments,"11,036","10,768","26,201","35,146","30,683","30,249","26,698","25,702","40,631","49,085","50,824","61,222","63,334",Cr,Screener
Other Assets +,"30,313","38,184","27,435","22,815","22,285","30,225","30,095","30,851","30,130","26,727","22,270","21,908","23,343",Cr,Screener
Total Assets,"45,599","53,352","58,028","63,018","58,625","66,988","65,306","65,689","80,383","85,241","81,624","91,995","95,897",Cr,Screener
