Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"38,757","41,210","44,681","46,048","44,710","48,124","50,407","50,299","59,574","67,753","66,792","67,293","70,412",Cr,Screener
Operating Profit,"9,108","9,199","9,309","9,557","8,954","8,761","10,207","12,054","12,411","12,126","11,683","12,998","13,043",Cr,Screener
OPM %,24%,22%,21%,21%,20%,18%,20%,24%,21%,18%,17%,19%,19%,%,Screener
Other Income +,"1,611","2,499","2,711","2,646","2,480","2,569","2,477","2,383","4,706","2,364","3,046","3,860","5,365",Cr,Screener
Interest,375,363,550,468,384,525,535,403,367,629,820,981,"1,058",Cr,Screener
Depreciation,737,778,875,"1,048","1,015",934,"1,141","1,349","1,486","1,592","1,492","1,447","1,458",Cr,Screener
Profit before tax,"9,608","10,557","10,594","10,687","10,034","9,870","11,008","12,685","15,264","12,269","12,418","14,430","15,892",Cr,Screener
Tax %,23%,22%,23%,24%,23%,23%,21%,21%,20%,25%,27%,25%,,%,Screener
Net Profit +,"7,387","8,193","8,200","8,162","7,723","7,614","8,681","10,061","12,135","9,177","9,119","10,792","12,015",Cr,Screener
EPS in Rs,5.62,6.22,6.22,6.30,6.40,6.31,7.60,9.18,11.07,8.36,8.73,10.31,11.46,₹,Screener
Dividend Payout %,27%,36%,18%,6%,6%,8%,7%,5%,27%,6%,6%,58%,,%,Screener
