Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"17,079","17,477","17,203","16,681","16,316","16,593","16,795","17,226","17,124","17,429","17,195","17,770","18,017",Cr,Screener
Expenses +,"13,942","14,619","13,936","13,940","13,533","13,700","13,562","13,917","13,804","14,124","14,112","14,514","14,619",Cr,Screener
Operating Profit,"3,137","2,859","3,267","2,740","2,783","2,893","3,234","3,310","3,320","3,305","3,084","3,256","3,398",Cr,Screener
OPM %,18%,16%,19%,16%,17%,17%,19%,19%,19%,19%,18%,18%,19%,%,Screener
Other Income +,672,842,736,684,593,"1,032",686,"1,066",794,"1,402","2,042",892,"1,028",Cr,Screener
Interest,174,174,205,206,203,206,216,246,286,254,246,283,275,Cr,Screener
Depreciation,408,384,377,371,370,374,380,373,360,388,362,351,356,Cr,Screener
Profit before tax,"3,227","3,142","3,421","2,848","2,804","3,345","3,324","3,756","3,467","4,065","4,518","3,515","3,795",Cr,Screener
Net Profit +,"2,413","2,264","2,588","2,061","2,023","2,447","2,405","2,745","2,841","2,923","3,696","2,614","2,782",Cr,Screener
EPS in Rs,2.20,2.06,2.36,1.97,1.94,2.34,2.30,2.62,2.71,2.79,3.53,2.49,2.65,₹,Screener
