Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,361,418,421,456,461,463,"2,510","5,011","5,011","5,751","5,754","6,271","6,274",Cr,Screener
Reserves,"6,761","11,262","13,366","21,598","25,298","26,441","19,216","28,185","28,731","34,992","36,392","41,509","42,923",Cr,Screener
Deposits,"74,192","91,176","111,720","142,874","200,738","227,610","105,364","162,947","197,192","217,502","266,372","284,525","296,276",Cr,Screener
Borrowing,"21,314","26,220","31,659","38,607","74,894","108,424","113,790","63,949","72,205","77,452","79,941","71,603","61,955",Cr,Screener
Other Liabilities +,"6,388","7,094","8,098","11,525","11,056","17,888","16,946","13,451","15,082","19,090","17,035","19,514","21,606",Cr,Screener
Total Liabilities,"109,016","136,170","165,263","215,060","312,446","380,826","257,827","273,543","318,220","354,786","405,493","423,422","429,035",Cr,Screener
Fixed Assets +,273,293,412,609,761,767,716,"2,087","2,009","2,149","2,500","2,859","3,152",Cr,Screener
CWIP,20,26,59,75,72,50,293,62,124,296,357,206,0,Cr,Screener
Investments,"40,950","43,228","48,838","50,032","68,399","89,522","43,915","43,319","51,896","76,888","90,235","85,104","83,204",Cr,Screener
Other Assets +,"67,772","92,623","115,954","164,345","243,214","290,487","212,903","228,075","264,192","275,453","312,401","335,252","342,679",Cr,Screener
Total Assets,"109,016","136,170","165,263","215,060","312,446","380,826","257,827","273,543","318,220","354,786","405,493","423,422","429,035",Cr,Screener
