Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),10,%,Growth,Screener
Compounded Sales Growth (5 Years),3,%,Growth,Screener
Compounded Sales Growth (3 Years),18,%,Growth,Screener
Compounded Profit Growth (10 Years),2,%,Growth,Screener
Compounded Profit Growth (5 Years),17,%,Growth,Screener
Compounded Profit Growth (3 Years),31,%,Growth,Screener
Compounded Profit Growth (TTM),48,%,Growth,Screener
Stock Price CAGR (5 Years),5,%,Valuation,Screener
Stock Price CAGR (3 Years),4,%,Valuation,Screener
Stock Price CAGR (1 Year),24,%,Valuation,Screener
Return on Equity (5 Years),1,%,Profitability,Screener
Return on Equity (3 Years),4,%,Profitability,Screener
Return on Equity (Last Year),5,%,Profitability,Screener
