Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,96,96,96,96,96,96,96,96,96,96,96,96,96,Cr,Screener
Reserves,"1,855","2,472","3,512","4,251","5,724","7,035","7,532","8,652","9,752","9,615","9,910","10,562","10,520",Cr,Screener
Borrowings +,"2,020","2,021","1,716","2,203","1,526","1,114",656,408,68,278,219,311,277,Cr,Screener
Other Liabilities +,746,"1,009",870,"1,093","1,702","2,624","2,411","2,127","2,143","2,644","2,312","1,764","1,626",Cr,Screener
Total Liabilities,"4,717","5,598","6,194","7,643","9,048","10,869","10,695","11,283","12,059","12,633","12,537","12,732","12,519",Cr,Screener
Fixed Assets +,263,294,304,502,957,879,697,553,601,872,743,603,568,Cr,Screener
CWIP,100,88,46,99,10,18,22,32,86,19,9,1,2,Cr,Screener
Investments,"1,008","1,109","2,221","2,412","1,988","1,572",854,"1,450","1,165",762,790,"1,972","1,898",Cr,Screener
Other Assets +,"3,346","4,108","3,622","4,630","6,094","8,401","9,122","9,248","10,207","10,979","10,994","10,156","10,051",Cr,Screener
Total Assets,"4,717","5,598","6,194","7,643","9,048","10,869","10,695","11,283","12,059","12,633","12,537","12,732","12,519",Cr,Screener
