Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"3,076","3,426","4,206","5,025","5,796","6,858","7,294","6,665","7,511","7,422","8,075","7,712","7,684",Cr,Screener
Operating Profit,"1,034","1,050","1,112","1,450","2,032","2,708","1,583","1,677","1,946","1,006",924,"1,064",773,Cr,Screener
OPM %,34%,31%,26%,29%,35%,39%,22%,25%,26%,14%,11%,14%,10%,%,Screener
Other Income +,182,222,226,378,981,174,-53,124,-8,-394,-201,86,73,Cr,Screener
Interest,7,2,149,127,143,128,139,53,40,68,69,30,36,Cr,Screener
Depreciation,34,58,60,86,140,159,178,146,111,192,223,214,192,Cr,Screener
Profit before tax,"1,175","1,212","1,130","1,615","2,731","2,596","1,213","1,602","1,787",353,431,906,619,Cr,Screener
Tax %,34%,31%,42%,40%,30%,36%,38%,30%,25%,54%,30%,23%,,%,Screener
Net Profit +,772,832,658,968,"1,912","1,655",752,"1,121","1,339",164,302,701,457,Cr,Screener
EPS in Rs,8.04,8.66,6.85,10.08,19.91,17.23,7.83,11.67,13.94,1.71,3.14,7.30,4.76,₹,Screener
Dividend Payout %,25%,26%,33%,25%,15%,20%,4%,21%,22%,0%,32%,33%,,%,Screener
