Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"1,931","1,934","1,832","2,299","1,914","2,029","2,001","1,871","1,836","2,004","1,684","1,848","2,149",Cr,Screener
Expenses +,"1,556","1,808","1,681","1,957","1,686","1,827","1,756","1,558","1,560","1,774","1,491","1,700","1,946",Cr,Screener
Operating Profit,375,126,151,342,229,202,245,314,276,230,192,147,203,Cr,Screener
OPM %,19%,7%,8%,15%,12%,10%,12%,17%,15%,11%,11%,8%,9%,%,Screener
Other Income +,-161,-363,-93,-50,-43,-14,-21,131,-55,31,19,21,3,Cr,Screener
Interest,12,39,23,22,18,6,5,6,11,7,7,13,8,Cr,Screener
Depreciation,52,54,54,56,56,56,55,56,53,51,49,47,45,Cr,Screener
Profit before tax,150,-330,-20,215,111,125,163,383,158,202,155,109,153,Cr,Screener
Net Profit +,89,-351,-14,155,76,84,112,307,126,156,112,78,112,Cr,Screener
EPS in Rs,0.93,-3.65,-0.15,1.62,0.79,0.88,1.17,3.20,1.31,1.62,1.16,0.82,1.16,₹,Screener
